48 Well Classic Well / Electrode,CytoView Well / Electrode,ChannelAchk,ChannelIndex
C4_42,C141,0,0
C1_14,C121,0,1
C4_32,C131,0,2
C1_22,C111,0,3
C1_24,C112,0,4
C1_44,C113,0,5
C1_34,C122,0,6
C1_12,C123,0,7
B1_41,C114,0,8
B1_21,C133,0,9
B1_31,C124,0,10
C1_13,C134,0,11
B1_11,C132,0,12
B1_12,C143,0,13
B1_22,C144,0,14
C1_23,C142,0,15
B1_13,B141,0,16
B1_14,B121,0,17
B1_23,B131,0,18
C1_11,B111,0,19
B1_24,B112,0,20
B1_44,B113,0,21
B1_34,B122,0,22
C1_21,B123,0,23
B1_33,B114,0,24
B1_42,B133,0,25
B1_43,B124,0,26
C1_31,B134,0,27
B1_32,B132,0,28
B2_31,B143,0,29
B2_41,B144,0,30
C1_41,B142,0,31
B2_21,A141,0,32
A1_21,A121,0,33
B2_11,A131,0,34
C1_32,A111,0,35
A1_11,A112,0,36
A1_12,A113,0,37
A1_22,A122,0,38
C1_42,A123,0,39
A1_13,A114,0,40
A1_14,A133,0,41
A1_23,A124,0,42
C1_43,A134,0,43
A1_24,A132,0,44
A1_44,A143,0,45
A1_34,A144,0,46
C1_33,A142,0,47
A1_33,C241,0,48
A1_42,C221,0,49
A1_43,C231,0,50
C2_22,C211,0,51
A1_32,C212,0,52
A1_31,C213,0,53
A1_41,C222,0,54
C2_23,C223,0,55
B2_22,C214,0,56
B2_13,C233,0,57
B2_12,C224,0,58
C2_13,C234,0,59
B2_23,C232,0,60
B2_24,C243,0,61
B2_14,C244,0,62
C2_12,C242,0,63
B2_34,B241,1,0
B2_33,B221,1,1
B2_44,B231,1,2
C2_11,B211,1,3
B2_43,B212,1,4
B2_32,B213,1,5
B2_42,B222,1,6
C2_21,B223,1,7
C2_33,B214,1,8
C2_42,B233,1,9
C2_43,B224,1,10
C2_31,B234,1,11
C2_32,B232,1,12
A2_21,B243,1,13
B3_41,B244,1,14
C2_41,B242,1,15
A2_11,A241,1,16
A2_12,A221,1,17
A2_22,A231,1,18
C2_14,A211,1,19
A2_13,A212,1,20
A2_14,A213,1,21
A2_23,A222,1,22
C2_24,A223,1,23
A2_24,A214,1,24
A2_44,A233,1,25
A2_34,A224,1,26
C2_34,A234,1,27
A2_33,A232,1,28
A2_42,A243,1,29
A2_43,A244,1,30
C2_44,A242,1,31
A2_32,C341,1,32
A2_31,C321,1,33
A2_41,C331,1,34
C3_22,C311,1,35
B3_31,C312,1,36
B3_11,C313,1,37
B3_21,C322,1,38
C3_12,C323,1,39
B3_22,C314,1,40
B3_13,C333,1,41
B3_12,C324,1,42
C3_13,C334,1,43
B3_23,C332,1,44
B3_24,C343,1,45
B3_14,C344,1,46
C3_23,C342,1,47
B3_34,B341,1,48
B3_33,B321,1,49
B3_44,B331,1,50
C3_11,B311,1,51
B3_43,B312,1,52
B3_32,B313,1,53
B3_42,B322,1,54
C3_21,B323,1,55
C3_33,B314,1,56
A3_21,B333,1,57
C3_43,B324,1,58
C3_31,B334,1,59
A3_11,B332,1,60
A3_12,B343,1,61
A3_22,B344,1,62
C3_41,B342,1,63
A3_13,A341,2,0
A3_14,A321,2,1
A3_23,A331,2,2
C3_32,A311,2,3
A3_24,A312,2,4
A3_44,A313,2,5
A3_34,A322,2,6
C3_14,A323,2,7
A3_33,A314,2,8
A3_42,A333,2,9
A3_43,A324,2,10
C3_24,A334,2,11
A3_32,A332,2,12
A3_31,A343,2,13
A3_41,A344,2,14
C3_34,A342,2,15
C3_42,C441,2,16
B4_31,C421,2,17
B4_41,C431,2,18
C3_44,C411,2,19
B4_21,C412,2,20
B4_22,C413,2,21
B4_11,C422,2,22
C4_22,C423,2,23
B4_12,C414,2,24
B4_23,C433,2,25
B4_13,C424,2,26
C4_12,C434,2,27
B4_14,C432,2,28
B4_34,C443,2,29
B4_24,C444,2,30
C4_13,C442,2,31
B4_44,B441,2,32
B4_43,B421,2,33
B4_33,B431,2,34
C4_23,B411,2,35
B4_42,B412,2,36
A4_21,B413,2,37
B4_32,B422,2,38
C4_11,B423,2,39
A4_11,B414,2,40
A4_12,B433,2,41
A4_22,B424,2,42
C4_21,B434,2,43
A4_13,B432,2,44
A4_14,B443,2,45
A4_23,B444,2,46
C4_31,B442,2,47
A4_24,A441,2,48
A4_44,A421,2,49
A4_34,A431,2,50
C4_41,A411,2,51
A4_33,A412,2,52
A4_42,A413,2,53
A4_43,A422,2,54
C4_14,A423,2,55
A4_32,A414,2,56
A4_31,A433,2,57
A4_41,A424,2,58
C4_24,A434,2,59
C4_43,A432,2,60
C4_33,A444,2,61
C5_13,A443,2,62
C5_23,A442,2,63
A5_22,A514,3,0
A5_21,A512,3,1
A5_11,A513,3,2
C5_34,A511,3,3
A5_23,A533,3,4
A5_12,A523,3,5
A5_13,A534,3,6
C5_44,A524,3,7
A5_34,A542,3,8
A5_14,A543,3,9
A5_24,A532,3,10
C5_11,A544,3,11
A5_43,A521,3,12
A5_44,A541,3,13
A5_33,A531,3,14
C5_21,A522,3,15
A5_41,B514,3,16
A5_42,B512,3,17
A5_32,B513,3,18
C5_31,B511,3,19
B5_12,B533,3,20
A5_31,B523,3,21
B5_22,B534,3,22
C5_41,B524,3,23
B5_14,B542,3,24
B5_13,B543,3,25
B5_23,B532,3,26
C5_33,B544,3,27
B5_44,B521,3,28
B5_24,B541,3,29
B5_34,B531,3,30
C5_43,B522,3,31
B5_42,C514,3,32
B5_33,C512,3,33
B5_43,C513,3,34
C5_42,C511,3,35
B5_31,C533,3,36
B5_32,C523,3,37
B5_41,C534,3,38
C5_32,C524,3,39
C6_12,C542,3,40
B5_21,C543,3,41
B5_11,C532,3,42
C6_14,C544,3,43
A6_22,C521,3,44
A6_21,C541,3,45
A6_11,C531,3,46
C6_24,C522,3,47
A6_23,A614,3,48
A6_12,A612,3,49
A6_13,A613,3,50
C6_34,A611,3,51
A6_34,A633,3,52
A6_14,A623,3,53
A6_24,A634,3,54
C6_44,A624,3,55
A6_43,A642,3,56
A6_44,A643,3,57
A6_33,A632,3,58
C6_22,A644,3,59
A6_41,A621,3,60
A6_42,A641,3,61
A6_32,A631,3,62
C6_11,A622,3,63
C6_23,B614,4,0
A6_31,B612,4,1
C6_13,B613,4,2
C6_21,B611,4,3
B6_13,B633,4,4
B6_22,B623,4,5
B6_12,B634,4,6
C6_31,B624,4,7
B6_24,B642,4,8
B6_23,B643,4,9
B6_14,B632,4,10
C6_41,B644,4,11
B6_33,B621,4,12
B6_34,B641,4,13
B6_44,B631,4,14
C6_33,B622,4,15
B6_32,C614,4,16
B6_43,C612,4,17
B6_42,C613,4,18
C6_43,C611,4,19
B6_21,C633,4,20
B6_41,C623,4,21
B6_31,C634,4,22
C6_42,C624,4,23
A7_22,C642,4,24
A7_21,C643,4,25
A7_11,C632,4,26
C6_32,C644,4,27
A7_23,C621,4,28
A7_12,C641,4,29
A7_13,C631,4,30
C7_14,C622,4,31
A7_34,A714,4,32
A7_14,A712,4,33
A7_24,A713,4,34
C7_24,A711,4,35
A7_43,A733,4,36
A7_44,A723,4,37
A7_33,A734,4,38
C7_34,A724,4,39
A7_41,A742,4,40
A7_42,A743,4,41
A7_32,A732,4,42
C7_44,A744,4,43
C7_22,A721,4,44
A7_31,A741,4,45
B6_11,A731,4,46
C7_11,A722,4,47
C7_23,B714,4,48
C7_12,B712,4,49
C7_13,B713,4,50
C7_21,B711,4,51
B7_13,B733,4,52
B7_22,B723,4,53
B7_12,B734,4,54
C7_31,B724,4,55
B7_24,B742,4,56
B7_23,B743,4,57
B7_14,B732,4,58
C7_41,B744,4,59
B7_33,B721,4,60
B7_34,B741,4,61
B7_44,B731,4,62
C7_42,B722,4,63
B7_32,C714,5,0
B7_43,C712,5,1
B7_42,C713,5,2
C7_43,C711,5,3
A8_22,C733,5,4
